model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
031_9_0,v_ACE2,13,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_CLN3,6,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]",0.0
031_9_0,v_HCM1,4,True,"[0, 0, 0, 1]","[0, 0, 0, 1]",0.0
031_9_0,v_MBF,14,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_SBF,2,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_SFF,6,False,"[0, 0, 0, 1]","[0, 1, 1, 1]",0.0
031_9_0,v_SWI5,3,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_YHP1,7,True,"[0, 1, 1, 1]","[0, 1, 1, 1]",0.0
031_9_0,v_YOX1,3,False,"[0, 0, 0, 1]","[0, 1, 1, 1]",0.0
