model_id,K,N,seed,ground_truth_path,rein_path,status
110_9_0,5,1,543,results/experiment_3/110_9_0/K5_N1/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K5_N1/110_9_0.rein,ready
110_9_0,5,3,545,results/experiment_3/110_9_0/K5_N3/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K5_N3/110_9_0.rein,ready
110_9_0,5,5,547,results/experiment_3/110_9_0/K5_N5/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K5_N5/110_9_0.rein,ready
110_9_0,5,10,552,results/experiment_3/110_9_0/K5_N10/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K5_N10/110_9_0.rein,ready
110_9_0,5,20,562,results/experiment_3/110_9_0/K5_N20/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K5_N20/110_9_0.rein,ready
110_9_0,10,1,1043,results/experiment_3/110_9_0/K10_N1/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K10_N1/110_9_0.rein,ready
110_9_0,10,3,1045,results/experiment_3/110_9_0/K10_N3/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K10_N3/110_9_0.rein,ready
110_9_0,10,5,1047,results/experiment_3/110_9_0/K10_N5/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K10_N5/110_9_0.rein,ready
110_9_0,10,10,1052,results/experiment_3/110_9_0/K10_N10/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K10_N10/110_9_0.rein,ready
110_9_0,10,20,1062,results/experiment_3/110_9_0/K10_N20/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K10_N20/110_9_0.rein,ready
110_9_0,15,1,1543,results/experiment_3/110_9_0/K15_N1/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K15_N1/110_9_0.rein,ready
110_9_0,15,3,1545,results/experiment_3/110_9_0/K15_N3/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K15_N3/110_9_0.rein,ready
110_9_0,15,5,1547,results/experiment_3/110_9_0/K15_N5/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K15_N5/110_9_0.rein,ready
110_9_0,15,10,1552,results/experiment_3/110_9_0/K15_N10/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K15_N10/110_9_0.rein,ready
110_9_0,15,20,1562,results/experiment_3/110_9_0/K15_N20/110_9_0_ground_truth.json,results/experiment_3/110_9_0/K15_N20/110_9_0.rein,ready
031_9_0,5,1,543,results/experiment_3/031_9_0/K5_N1/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K5_N1/031_9_0.rein,ready
031_9_0,5,3,545,results/experiment_3/031_9_0/K5_N3/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K5_N3/031_9_0.rein,ready
031_9_0,5,5,547,results/experiment_3/031_9_0/K5_N5/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K5_N5/031_9_0.rein,ready
031_9_0,5,10,552,results/experiment_3/031_9_0/K5_N10/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K5_N10/031_9_0.rein,ready
031_9_0,5,20,562,results/experiment_3/031_9_0/K5_N20/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K5_N20/031_9_0.rein,ready
031_9_0,10,1,1043,results/experiment_3/031_9_0/K10_N1/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K10_N1/031_9_0.rein,ready
031_9_0,10,3,1045,results/experiment_3/031_9_0/K10_N3/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K10_N3/031_9_0.rein,ready
031_9_0,10,5,1047,results/experiment_3/031_9_0/K10_N5/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K10_N5/031_9_0.rein,ready
031_9_0,10,10,1052,results/experiment_3/031_9_0/K10_N10/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K10_N10/031_9_0.rein,ready
031_9_0,10,20,1062,results/experiment_3/031_9_0/K10_N20/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K10_N20/031_9_0.rein,ready
031_9_0,15,1,1543,results/experiment_3/031_9_0/K15_N1/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K15_N1/031_9_0.rein,ready
031_9_0,15,3,1545,results/experiment_3/031_9_0/K15_N3/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K15_N3/031_9_0.rein,ready
031_9_0,15,5,1547,results/experiment_3/031_9_0/K15_N5/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K15_N5/031_9_0.rein,ready
031_9_0,15,10,1552,results/experiment_3/031_9_0/K15_N10/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K15_N10/031_9_0.rein,ready
031_9_0,15,20,1562,results/experiment_3/031_9_0/K15_N20/031_9_0_ground_truth.json,results/experiment_3/031_9_0/K15_N20/031_9_0.rein,ready
